first_name	last_name	U		0		state		
Carman	Doe	F	28101941	0		VT	17363836966	
Ben	Curler	M	04082023	0		TX	2578056854	
John	Do	M	08011962	0		VT	17021214060	
Thomas	Fryer	M	13041941	0		TX	14868946055	
John	Do	M	10011918	0		CA	7523688927	
Asheley	Dough	F	24041956	0		TX	18804652333	
Todd	Sourdough	M	06042023	0		VT	4324121550	
Ben	Fryer	M	24051973	0		VT	4512792852	
Todd	Fryer	M	03042019	0		CA	2914468494	
Carman	Curler	F	28041920	0		VT	8327908746	
Thomas	Sourdough	M	02111920	0		VT	2752718492	
Asheley	Do	F	31011994	0		CA	4622037394	
Alex	Doughnut	M	28042024	0		TX	3305996029	
Ben	Do	M	31101929	0		CA	17703716025	
Alex	Doughnut	F	18022013	0		VT	16056524976	
Ashleigh	Dough	F	14071996	0		IA	2168898477	
Ashleigh	Doughnut	F	23112030	0		TX	7125868163	
Todd	Dough	M	19121967	0		TX	7665168472	
Asheley	Doughnut	F	21062015	0		TX	17913896865	
Jim	Curler	M	20051930	0		CA	1396326614	
Alex	Doughnut	F	12122001	0		IA	8117486883	
Lisa	Curler	F	01101999	0		VT	4771207586	
John	Crisp	M	05062012	0		VT	12522512437	
Ben	Doughnut	M	18061985	0		TX	15257681093	
Ashleigh	Fryer	F	24091958	0		IA	8223051859	
Todd	Curler	M	06101967	0		IA	4724402933	
Lisa	Doe	F	08111992	0		TX	11413713586	
Todd	Doughnut	M	01011931	0		VT	1501835504	
Thomas	Doe	M	01051961	0		VT	3243417852	
Asheley	Doughnut	F	07041979	0		TX	1752125203	
Todd	Curler	M	31072018	0		CA	3135836510	
Ashleigh	Sourdough	F	28072021	0		CA	13705801942	
Thomas	Curler	M	17101929	0		IA	7011264649	
Alex	Dough	F	01092027	0		CA	8605668433	
Alex	Doe	F	21111956	0		CA	3352161917	
Ashleigh	Sourdough	F	20111979	0		TX	4984227786	
John	Do	M	26092000	0		CA	3694851193	
Thomas	Dough	M	08011970	0		IA	16133818176	
Alex	Doughnut	F	11041994	0		VT	7915505740	
Carman	Doe	F	30042009	0		CA	8496503656	
Ashleigh	Crisp	F	14071986	0		VT	14934492397	
Ben	Doe	M	22081932	0		TX	7694926583	
John	Sourdough	M	13022019	0		IA	3948737166	
Ashleigh	Sourdough	F	21071968	0		CA	17556454845	
Lisa	Doe	F	27081934	0		IA	2292168485	
Thomas	Sourdough	M	29091943	0		TX	15625805821	
Carman	Do	F	12021947	0		IA	5923175866	
Lisa	Doughnut	F	21021970	0		IA	18447063502	
Ben	Doe	M	26091924	0		VT	3754192753	
Carman	Sourdough	F	04051963	0		CA	14923064596	
Carman	Doe	F	02091992	0		VT	5365874822	
Lisa	Curler	F	11051988	0		TX	4875973170	
Jim	Do	M	10071982	0		TX	7864654669	
John	Doe	M	16052021	0		TX	1848842023	
Ashleigh	Dough	F	17061922	0		VT	15641251170	
Todd	Dough	M	22041923	0		CA	4006443843	
Todd	Sourdough	M	15071960	0		VT	8906318140	
Ben	Crisp	M	20041977	0		IA	3083507014	
Carman	Dough	F	08122000	0		CA	4803718951	
John	Crisp	M	13091916	0		TX	15635516688	
Ashleigh	Crisp	F	24052029	0		CA	13528053001	
Thomas	Curler	M	17012019	0		VT	13343401126	
Alex	Do	F	09092013	0		TX	1695676647	
Todd	Sourdough	M	21012011	0		VT	7254458089	
Todd	Sourdough	M	12081956	0		VT	16287857341	
Ben	Dough	M	29101951	0		TX	4781253626	
Jim	Doe	M	05121915	0		TX	8682741449	
Todd	Sourdough	M	08061970	0		TX	13388572039	
Alex	Doe	F	15051987	0		VT	7874153528	
Thomas	Curler	M	25032020	0		VT	1162828776	
Alex	Crisp	M	27121937	0		VT	13432964083	
Jim	Doughnut	M	09081930	0		CA	6796438727	
Todd	Dough	M	25022029	0		TX	6193873949	
John	Doe	M	09122018	0		IA	1807364360	
Todd	Dough	M	17122010	0		VT	3991442126	
John	Do	M	21061926	0		CA	6797237155	
Thomas	Doughnut	M	30081945	0		VT	8193802439	
Alex	Sourdough	F	07071995	0		CA	8135022626	
Ashleigh	Dough	F	17031971	0		VT	6386615308	
Asheley	Curler	F	02122017	0		TX	8017652248	
Lisa	Sourdough	F	27042031	0		VT	1485737521	
Ben	Sourdough	M	24051919	0		IA	12131058808	
Jim	Fryer	M	17031950	0		CA	14912278807	
Ben	Curler	M	21061983	0		CA	2342727460	
Jim	Crisp	M	01031944	0		VT	7284084560	
Carman	Sourdough	F	11061930	0		TX	2486411432	
Jim	Curler	M	12082023	0		CA	4595732104	
Todd	Fryer	M	28071943	0		CA	18657217160	
Alex	Do	M	11072017	0		CA	13778044117	
Alex	Curler	F	18101949	0		IA	4032026665	
Lisa	Sourdough	F	11102019	0		CA	3822077190	
Jim	Do	M	05082010	0		CA	17941181444	
John	Do	M	30041976	0		CA	4734054355	
Asheley	Dough	F	07111957	0		TX	1385162374	
Lisa	Dough	F	23111921	0		CA	7383565110	
Lisa	Crisp	F	08071919	0		VT	7894323500	
Lisa	Do	F	16061973	0		IA	11946437062	
Thomas	Doughnut	M	22011967	0		TX	13848353632	
Ashleigh	Doe	F	08092030	0		VT	5076123619	
Ben	Do	M	04012020	0		VT	2033844794	
Jim	Do	M	24011958	0		CA	14032987357	
Alex	Doe	F	22121952	0		CA	8812686730	
Lisa	Do	F	29112020	0		VT	2536027813	
Alex	Crisp	M	05031987	0		TX	12755967225	
John	Sourdough	M	16121947	0		VT	15308592646	
Asheley	Do	F	02081948	0		CA	7082982248	
John	Doughnut	M	07022016	0		IA	7851997963	
Jim	Sourdough	M	02081935	0		VT	11857454132	
Lisa	Doughnut	F	19021927	0		VT	8924744668	
Ashleigh	Sourdough	F	31071946	0		IA	8307264219	
Alex	Crisp	M	26062013	0		VT	1003935286	
Ben	Crisp	M	20021944	0		IA	7123918837	
Ashleigh	Sourdough	F	02032030	0		IA	14096717998	
Thomas	Fryer	M	01082001	0		VT	2585643573	
Carman	Dough	F	11101913	0		IA	12041561669	
Ben	Crisp	M	07112001	0		IA	4825626912	
Carman	Doughnut	F	15111931	0		IA	12492782387	
Lisa	Sourdough	F	26021961	0		VT	2408946027	
Alex	Crisp	F	30111917	0		TX	2977653157	
Alex	Do	M	27011937	0		CA	1415214648	
Asheley	Crisp	F	29021964	0		CA	1438656136	
Thomas	Dough	M	19051968	0		TX	4574618997	
Ben	Sourdough	M	06111954	0		IA	2808476865	
Todd	Curler	M	02101989	0		IA	4215662224	
Jim	Doughnut	M	12011941	0		CA	5401888209	
Alex	Sourdough	M	14011996	0		VT	6355755107	
Asheley	Doe	F	16051965	0		IA	13572173177	
Ben	Sourdough	M	01081915	0		TX	4545125688	
Jim	Doe	M	13081918	0		TX	8043887749	
Todd	Crisp	M	18041972	0		CA	7455777234	
Alex	Curler	M	21111923	0		VT	13621423506	
Alex	Sourdough	F	19071941	0		IA	2594261440	
Asheley	Crisp	F	01071955	0		VT	3636712846	
Carman	Crisp	F	29031950	0		IA	18121155062	
Carman	Doe	F	23121970	0		IA	3082205603	
Alex	Curler	M	06082016	0		CA	3962031150	
Jim	Doughnut	M	26051948	0		VT	11154321536	
Thomas	Fryer	M	02121939	0		VT	13928293404	
Alex	Fryer	F	18111943	0		CA	5868117092	
Alex	Doughnut	F	22051975	0		IA	2467205091	
Asheley	Doughnut	F	20081934	0		IA	7412615013	
Carman	Do	F	02101993	0		IA	16263174469	
Alex	Crisp	F	23062027	0		VT	14816023566	
Ashleigh	Fryer	F	22021986	0		VT	11991046285	
John	Fryer	M	04072005	0		VT	2853165694	
Todd	Fryer	M	07082000	0		IA	4616717154	
Alex	Do	M	01032002	0		VT	8937091073	
Alex	Do	F	02112013	0		VT	2865695743	
Alex	Fryer	F	13091985	0		VT	4711914176	
Alex	Crisp	M	16121962	0		IA	3297691128	
Jim	Do	M	16011969	0		CA	18052628164	
Asheley	Doughnut	F	19061931	0		TX	14706736156	
Alex	Curler	F	12092013	0		TX	7561823823	
Jim	Crisp	M	11011970	0		IA	3596424672	
Lisa	Sourdough	F	29031986	0		CA	3842926329	
Alex	Curler	M	22081989	0		IA	5775214032	
Carman	Crisp	F	05082003	0		CA	2483313893	
Carman	Sourdough	F	19101964	0		CA	14316252741	
John	Crisp	M	04052027	0		CA	3207166703	
John	Doe	M	16111946	0		IA	8268156223	
Carman	Doe	F	28101984	0		VT	5245371010	
Asheley	Dough	F	26121960	0		IA	18551025189	
Ben	Curler	M	01111937	0		VT	7068071220	
Alex	Crisp	F	06121955	0		IA	2571512684	
Jim	Do	M	29031990	0		CA	11336726674	
Thomas	Curler	M	26121917	0		VT	5652515702	
Carman	Do	F	30042013	0		IA	1423303360	
Carman	Sourdough	F	07062021	0		CA	2277087649	
Thomas	Do	M	22092009	0		VT	15085343948	
Thomas	Crisp	M	11061978	0		CA	18033931199	
Alex	Sourdough	F	31101942	0		VT	6406643884	
Alex	Fryer	M	11012023	0		VT	3495464932	
Thomas	Curler	M	23102023	0		TX	1748707860	
Lisa	Fryer	F	21032010	0		VT	17527305539	
Ashleigh	Fryer	F	05041930	0		CA	14964352778	
Asheley	Doughnut	F	06091938	0		IA	14598443617	
Todd	Dough	M	26071998	0		IA	15817748038	
Jim	Dough	M	30102028	0		VT	6942096794	
Asheley	Doe	F	19082006	0		CA	5961677673	
Alex	Dough	M	22051943	0		VT	17053074929	
Ashleigh	Sourdough	F	15052007	0		CA	3414502673	
Alex	Sourdough	M	09091914	0		VT	12544794165	
Lisa	Doe	F	25021969	0		TX	2735023284	
Lisa	Sourdough	F	04011912	0		IA	2651533352	
Alex	Fryer	F	29101976	0		IA	13258621026	
Jim	Fryer	M	07061966	0		IA	1594532085	
Lisa	Dough	F	09111913	0		IA	16304608197	
Thomas	Fryer	M	20122030	0		IA	18743853622	
Thomas	Curler	M	17021927	0		TX	17613328703	
Jim	Do	M	30121953	0		TX	2662951195	
Carman	Doe	F	05011932	0		IA	15982633079	
Alex	Fryer	M	10082003	0		IA	1397723974	
Lisa	Do	F	12031949	0		TX	4462138205	
Lisa	Crisp	F	12071971	0		VT	2543161744	
Thomas	Crisp	M	23091964	0		CA	12442361903	
John	Crisp	M	20061963	0		VT	2784214945	
Alex	Doughnut	F	12012009	0		TX	15061823237	
Carman	Crisp	F	26041914	0		VT	4202513489	
Alex	Curler	M	15032028	0		TX	7784377968	
Ben	Crisp	M	02041980	0		TX	18203841203	
Alex	Dough	M	22091987	0		CA	6421593308	
Alex	Sourdough	F	08111954	0		IA	7462361010	
Jim	Crisp	M	17041944	0		CA	3827104970	
Asheley	Sourdough	F	10101916	0		CA	6943024526	
Asheley	Do	F	17021967	0		CA	4718796346	
Lisa	Crisp	F	29061985	0		CA	1663358660	
Lisa	Fryer	F	30062007	0		IA	15697223433	
Alex	Fryer	M	25011967	0		TX	8218253253	
Carman	Do	F	05051953	0		IA	18935668065	
Ben	Do	M	19041990	0		IA	16393775185	
Lisa	Doughnut	F	14061982	0		IA	13175211404	
Todd	Crisp	M	13011920	0		CA	5487543392	
Asheley	Doughnut	F	07061928	0		IA	1905055490	
Lisa	Doughnut	F	16031982	0		CA	12284424974	
Ashleigh	Curler	F	13031950	0		CA	6415804081	
John	Sourdough	M	06011960	0		IA	7934033984	
Jim	Dough	M	31071994	0		TX	2895821639	
Todd	Sourdough	M	13091961	0		CA	3965135296	
John	Doughnut	M	19032003	0		VT	4662788152	
Alex	Do	M	25031953	0		IA	2391184986	
Jim	Do	M	28011982	0		IA	6565471565	
Lisa	Doe	F	26111913	0		TX	12436027660	
Thomas	Curler	M	07032020	0		VT	5686198156	
Carman	Doe	F	24041964	0		VT	2164333758	
Thomas	Dough	M	20071934	0		VT	5542573877	
Lisa	Doughnut	F	16082029	0		IA	7938578091	
Ashleigh	Doughnut	F	28091936	0		TX	11752402637	
Todd	Fryer	M	31031929	0		CA	2974183573	
Ashleigh	Dough	F	05021915	0		TX	4496016938	
Lisa	Fryer	F	13051929	0		TX	4433192912	
Lisa	Doe	F	29051915	0		VT	4865642619	
Alex	Doe	F	12121954	0		TX	4245117294	
Carman	Sourdough	F	02111938	0		VT	17077038981	
Asheley	Sourdough	F	10111948	0		IA	16058877498	
Lisa	Fryer	F	23021971	0		TX	1727532412	
Thomas	Curler	M	18042024	0		VT	16197883663	
Ashleigh	Curler	F	28031986	0		CA	1286833321	
John	Do	M	21121985	0		CA	4627181014	
Alex	Doughnut	M	12051959	0		VT	15621944192	
Ashleigh	Curler	F	25091992	0		TX	12362928651	
Jim	Do	M	30061988	0		TX	8676266752	
Jim	Sourdough	M	30122025	0		TX	5944326761	
Todd	Dough	M	04101999	0		CA	2758067485	
Lisa	Dough	F	14121937	0		CA	12835288793	
Jim	Dough	M	25121992	0		IA	13348848045	
John	Curler	M	27011916	0		CA	13784498636	
Ashleigh	Fryer	F	25061930	0		CA	1848668566	
Ben	Crisp	M	13081975	0		IA	8752526993	
Ben	Do	M	30052017	0		TX	1383943057	
Todd	Sourdough	M	11042028	0		TX	3968605469	
Jim	Crisp	M	13111976	0		TX	8225883733	
Carman	Crisp	F	17102007	0		CA	7036375331	
Carman	Crisp	F	31012003	0		TX	16357776544	
Alex	Doughnut	F	16011962	0		TX	8655688720	
Lisa	Dough	F	09091936	0		CA	7366313140	
Asheley	Curler	F	06021936	0		TX	8615708860	
Lisa	Dough	F	08021936	0		VT	8941054751	
Ashleigh	Crisp	F	21071936	0		IA	4456225546	
Jim	Dough	M	21051992	0		CA	18284666578	
Lisa	Doe	F	19102002	0		VT	14038625519	
Carman	Dough	F	29081954	0		CA	1994688727	
Jim	Curler	M	05061961	0		TX	1908263230	
John	Dough	M	06061965	0		IA	5653422981	
Ben	Do	M	28081926	0		VT	15913633596	
Ben	Fryer	M	30121920	0		VT	4511314289	
John	Doughnut	M	15041946	0		IA	1647148122	
Ben	Dough	M	03102014	0		IA	7753588945	
Ashleigh	Curler	F	26062002	0		TX	8202707378	
Jim	Crisp	M	12041917	0		IA	5133066405	
Todd	Do	M	21071912	0		VT	1471605037	
Thomas	Fryer	M	31032013	0		CA	14513175883	
Asheley	Crisp	F	30011964	0		CA	8045762367	
Carman	Crisp	F	28101953	0		TX	7174811014	
Carman	Do	F	09021939	0		VT	7832312524	
Carman	Sourdough	F	07031948	0		IA	3396105355	
Jim	Fryer	M	17072024	0		TX	8914946699	
Todd	Doe	M	04021917	0		VT	3724532102	
Lisa	Doe	F	11021948	0		TX	4051717464	
Lisa	Fryer	F	02071964	0		IA	7428674441	
Carman	Do	F	17101981	0		VT	3217466887	
Ashleigh	Do	F	15122010	0		CA	14833844515	
Todd	Fryer	M	22051928	0		VT	2378943063	
John	Crisp	M	11061948	0		CA	2964797947	
Asheley	Curler	F	09031977	0		IA	11976134495	
Todd	Sourdough	M	01091954	0		CA	16415671659	
Todd	Fryer	M	11051962	0		IA	5927061413	
Asheley	Curler	F	09021936	0		TX	6163475239	
Carman	Doughnut	F	01071919	0		VT	7302866156	
Asheley	Doughnut	F	13022031	0		TX	2834447180	
Carman	Crisp	F	10121969	0		TX	7032648459	
Asheley	Curler	F	18121922	0		IA	2698682746	
Carman	Curler	F	05061929	0		IA	1411633807	
Alex	Do	F	09071915	0		IA	8501465101	
Carman	Do	F	27031988	0		IA	14672054476	
Alex	Crisp	F	26061970	0		CA	6118653767	
Alex	Dough	M	11101920	0		IA	1494748974	
Alex	Curler	M	08082024	0		VT	2817353276	
Alex	Sourdough	F	07071964	0		TX	2848271823	
Jim	Doughnut	M	21112025	0		TX	6552215121	
Lisa	Doughnut	F	01062014	0		IA	1483458233	
Alex	Doughnut	M	18071994	0		IA	11712187754	
Alex	Dough	M	21011940	0		VT	3031855273	
Alex	Doe	F	14051950	0		TX	1834882750	
Ben	Sourdough	M	06022027	0		TX	6623475241	
Ben	Do	M	27071945	0		VT	5513351587	
Todd	Sourdough	M	07121994	0		TX	2471766613	
John	Dough	M	02011937	0		VT	3421455376	
Thomas	Sourdough	M	28062030	0		VT	12993017003	
Lisa	Sourdough	F	19121915	0		IA	4567501053	
Alex	Fryer	M	14031917	0		TX	5854702557	
Ben	Dough	M	19051969	0		VT	3995181625	
Alex	Do	M	24042019	0		IA	1781588597	
Ben	Do	M	06012011	0		TX	7413907700	
John	Crisp	M	02081915	0		CA	8767498930	
Ashleigh	Doughnut	F	09091936	0		IA	14012416447	
Thomas	Dough	M	01051983	0		IA	3673056793	
Todd	Dough	M	17042027	0		TX	12368247951	
Asheley	Doe	F	09071989	0		IA	5583357951	
